doi,query_status_code,pdf_status_code,error
10.1007/bf03179113,200,200.0,
10.1007/bf03179579,200,200.0,
10.1007/bf00167746,200,200.0,
10.1023/a:1007805322097,500,,
10.2165/00044011-199612030-00003,200,200.0,
10.1023/a:1021092023253,500,,
10.1023/a:1017946524199,500,,
10.1023/b:mcbi.0000009861.45692.ed,500,,
10.1385/cbb:43:1:017,500,,
10.1023/a:1005760706661,500,,
10.1023/a:1014412814735,500,,
10.1023/a:1027354110563,500,,
10.1007/bf00362598,200,200.0,
