file_name,error_msg
data/cpet_articles/pdfs/springer_non_oa_pdfs/bf00429025.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/s00421-007-0649-7.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/00003495-198500293-00004.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/s00421-009-1233-0.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/s00421-011-2171-1.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/bf02388626.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/s004210050307.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 110, in main\n    interpreter.process_page(page)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfinterp.py"", line 841, in process_page\n    self.render_contents(page.resources, page.contents, ctm=ctm)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfinterp.py"", line 854, in render_contents\n    self.execute(list_value(streams))\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfinterp.py"", line 869, in execute\n    name = keyword_name(obj).decode(\'ascii\')\nUnicodeDecodeError: \'ascii\' codec can\'t decode byte 0xd0 in position 0: ordinal not in range(128)\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/bf00138268.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/s00442-019-04430-z.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
data/cpet_articles/pdfs/springer_non_oa_pdfs/bf01744799.pdf,"b'Traceback (most recent call last):\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 115, in <module>\n    if __name__ == \'__main__\': sys.exit(main(sys.argv))\n  File ""/Users/antonhesse/opt/anaconda3/bin/pdf2txt.py"", line 106, in main\n    for page in PDFPage.get_pages(fp, pagenos,\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfpage.py"", line 122, in get_pages\n    doc = PDFDocument(parser, password=password, caching=caching)\n  File ""/Users/antonhesse/opt/anaconda3/lib/python3.8/site-packages/pdfminer/pdfdocument.py"", line 583, in __init__\n    raise PDFSyntaxError(\'No /Root object! - Is this really a PDF?\')\npdfminer.pdfparser.PDFSyntaxError: No /Root object! - Is this really a PDF?\n'"
